movie_id,title,budget,revenue,studio,roi,rev,component_score
24356,Masked and Anonymous,0,0.0,0.0,,0.0,0.0
37707,Splice,26000000,0.0,0.0,0.0,0.0,0.0
40769,Mutual Appreciation,500000,0.0,0.0,0.0,0.0,0.0
220490,Her Cry: La Llorona Investigation,0,0.0,0.0,,0.0,0.0
224569,Taxman,0,0.0,0.0,,0.0,0.0
42497,Pink Narcissus,27000,0.0,0.0,0.0,0.0,0.0
14585,In the Company of Men,0,0.0,0.0,,0.0,0.0
185465,Manito,0,0.0,0.0,,0.0,0.0
38780,Rampage,0,0.0,0.0,,0.0,0.0
14022,Slacker,0,0.0,0.0,,0.0,0.0
366967,Dutch Kills,0,0.0,0.0,,0.0,0.0
255266,Dry Spell,22000,0.0,0.0,0.0,0.0,0.0
17345,Flywheel,0,0.0,0.0,,0.0,0.0
226458,Backmask,0,0.0,0.0,,0.0,0.0
24055,The Puffy Chair,0,0.0,0.0,,0.0,0.0
39851,Clean,0,0.0,0.0,,0.0,0.0
86304,All Superheroes Must Die,0,0.0,0.0,,0.0,0.0
126186,Shanghai Calling,0,0.0,0.0,,0.0,0.0
231617,"Signed, Sealed, Delivered",0,0.0,0.0,,0.0,0.0
84659,The Naked Ape,0,0.0,0.0,,0.0,0.0
